"Last_Name","Name","Pos","Team","Num","feet","inches","Weight","DOB","Pos_r","Cm","Kg","Dob","Age","Cm_j"
"Abanikanda"," Israel","RB","NYJ",25,5,11,215,"10/5/02","RB-FB",180.34,97.73,2002-10-05,20.9,180.48
"Abdullah"," Ameer","RB","LV",22,5,9,203,"6/13/93","RB-FB",175.26,92.27,1993-06-13,30.2,177.98
"Abdullah"," Yasir","LB","JAC",56,6,1,234,"4/12/00","LB",185.42,106.36,2000-04-12,23.3,186.09
"Abernathy"," Micah","DB","ATL",29,6,0,196,"2/10/97","DB-CB-S",182.88,89.09,1997-02-10,26.5,180.79
"Abram"," Johnathan","S","NO",24,6,0,205,"10/25/96","DB-CB-S",182.88,93.18,1996-10-25,26.8,182.75
"Achane"," Devon","RB","MIA",28,5,9,188,"10/13/01","RB-FB",175.26,85.45,2001-10-13,21.8,176.45
"Adams"," Davante","WR","LV",17,6,1,215,"12/24/92","WR-TE",185.42,97.73,1992-12-24,30.6,184.45
"Adams"," Jamal","S","SEA",33,6,1,213,"10/17/95","DB-CB-S",185.42,96.82,1995-10-17,27.8,188.09
"Adams"," Matthew","LB","CLE",40,6,0,230,"12/12/95","LB",182.88,104.55,1995-12-12,27.7,184.18
"Adams"," Montravius","DT","PIT",57,6,4,304,"7/24/95",NA,193.04,138.18,1995-07-24,28.1,195.26
"Adams"," Myles","DT","SEA",95,6,2,290,"3/9/98",NA,187.96,131.82,1998-03-09,25.4,186.07
"Adams"," Tony","S","NYJ",22,6,0,205,"1/24/99","DB-CB-S",182.88,93.18,1999-01-24,24.6,183.51
"Addington"," Tucker","LS","NE",46,6,2,230,"7/16/97","S.TEAMS",187.96,104.55,1997-07-16,26.1,187.86
"Addison"," Jordan","WR","MIN",3,5,11,175,"1/27/02","WR-TE",180.34,79.55,2002-01-27,21.5,179.29
"Adebawore"," Adetomiwa","DE","IND",95,6,2,282,"3/4/01","DL-DE",187.96,128.18,2001-03-04,22.4,189.69
"Adebo"," Paulson","CB","NO",29,6,1,192,"7/3/99","DB-CB-S",185.42,87.27,1999-07-03,24.1,184.34
"Adeniji"," Hakeem","OT","CIN",77,6,4,315,"12/8/97","OL-G-C",193.04,143.18,1997-12-08,25.7,192.06
"Adkins"," Nate","TE","DEN",45,6,3,252,"7/9/99","WR-TE",190.5,114.55,1999-07-09,24.1,191.01
"Adomitis"," Cal","LS","CIN",48,6,2,238,"7/9/98","S.TEAMS",187.96,108.18,1998-07-09,25.1,187.13
"Agholor"," Nelson","WR","BAL",15,6,0,198,"5/24/93","WR-TE",182.88,90,1993-05-24,30.2,182.38
"Agim"," McTelvin","DT","IND",97,6,3,300,"9/25/97",NA,190.5,136.36,1997-09-25,25.9,190.67
"Agnew"," Jamal","WR","JAC",39,5,10,190,"4/3/95","WR-TE",177.8,86.36,1995-04-03,28.4,178.76
"Agoha"," David Ebuka","DL","LV",62,6,4,252,NA,"DL-DE",193.04,114.55,NA,NA,196.02
"Agude"," Mitchell","LB","MIA",50,6,4,242,"3/10/99","LB",193.04,110,1999-03-10,24.4,191.23
"Ahlers"," Holton","QB","SEA",15,6,3,227,"10/11/99","QB",190.5,103.18,1999-10-11,23.8,188.47
"Ahmed"," Salvon","RB","MIA",26,5,11,197,"12/29/98","RB-FB",180.34,89.55,1998-12-29,24.6,181.82
"Aho"," Junior","DL","MIN",73,6,4,272,"2/2/99","DL-DE",193.04,123.64,1999-02-02,24.5,193.4
"Aiyuk"," Brandon","WR","SF",11,6,0,200,"3/17/98","WR-TE",182.88,90.91,1998-03-17,25.4,185.27
"Ajiake"," Austin","LB","DEN",NA,6,2,220,NA,"LB",187.96,100,NA,NA,187.79
"Akers"," Cam","RB","LAR",3,5,10,217,"6/22/99","RB-FB",177.8,98.64,1999-06-22,24.1,176.98
"Akingbulu"," Alex","OT","WAS",62,6,5,300,"12/28/97","OL-G-C",195.58,136.36,1997-12-28,25.6,195.68
"Akins"," Jordan","TE","CLE",84,6,4,245,"4/19/92","WR-TE",193.04,111.36,1992-04-19,31.3,191.42
"Alarcon"," Isaac","DL","DAL",60,6,7,320,"7/27/98","DL-DE",200.66,145.45,1998-07-27,25,199.39
"Alexander"," Jaire","CB","GB",23,5,10,196,"2/9/97","DB-CB-S",177.8,89.09,1997-02-09,26.5,178.04
"Alexander"," Kwon","LB","PIT",NA,6,1,227,"8/3/94","LB",185.42,103.18,1994-08-03,29,185.69
"Alexander"," Maurice","WR","DET",15,5,11,180,"1/10/97","WR-TE",180.34,81.82,1997-01-10,26.6,180.67
